"codigounic,""COMUNA_SII"",""MANZ"",""PREDIO"",""AVALUO"",""SUP_TERR"",""ANO_CONSTR"",""SUP_CONSTR"",""UF_TRANS"",""COMUNA"",""Casas_UFPr"",""Depto_UFPr"",""IMORANCASA"",""IMORANDPTO"",""Ten_Metro"",""Ten_MetroC"""
"13101-101-530,13101,101,530,17587689,0,1956,41,1950,""SANTIAGO"",13.4150279447,20.8255924502,0.0743326497245,0.210916675832,1,1"
"13101-101-532,13101,101,532,18017217,0,1956,42,1807,""SANTIAGO"",13.4150279447,20.8255924502,0.0743326497245,0.210916675832,1,1"
"13101-101-695,13101,101,695,27986392,0,1954,53,911,""SANTIAGO"",13.4150279447,20.8255924502,0.0743326497245,0.210916675832,1,1"
"13101-101-729,13101,101,729,20622805,0,1954,30,716,""SANTIAGO"",13.4150279447,20.8255924502,0.0743326497245,0.210916675832,1,1"
"13101-101-764,13101,101,764,25871102,0,1954,49,393,""SANTIAGO"",13.4150279447,20.8255924502,0.0743326497245,0.210916675832,1,1"
"13101-101-815,13101,101,815,26928747,0,1954,51,1794,""SANTIAGO"",13.4150279447,20.8255924502,0.0743326497245,0.210916675832,1,1"
"13101-1010-104,13101,1010,104,22660912,0,1972,62,1402,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1010-109,13101,1010,109,22660912,0,1972,62,1328,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1010-110,13101,1010,110,22660912,0,1972,62,1516,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1010-115,13101,1010,115,22660912,0,1972,62,942,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1010-14,13101,1010,14,23026538,0,1972,63,1205,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1010-42,13101,1010,42,23026538,0,1972,63,1425,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1010-60,13101,1010,60,23392163,0,1972,64,887,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1010-63,13101,1010,63,23392163,0,1972,64,1675,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1010-67,13101,1010,67,23026538,0,1972,63,1178,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1010-71,13101,1010,71,23026538,0,1972,63,1330,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1010-73,13101,1010,73,23026538,0,1972,63,1102,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1010-73,13101,1010,73,23026538,0,1972,63,1595,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1010-94,13101,1010,94,22660912,0,1972,62,937,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1011-108,13101,1011,108,22713398,0,1972,64,1390,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1011-112,13101,1011,112,23778077,0,1972,67,1958,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1011-120,13101,1011,120,22713398,0,1972,64,1273,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1011-121,13101,1011,121,23778077,0,1972,67,1750,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1011-23,13101,1011,23,23778077,0,1972,67,1498,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1011-27,13101,1011,27,22713398,0,1972,64,2000,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1011-57,13101,1011,57,22713398,0,1972,64,1385,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
